"Player","Pos","PassYds","PassTDs","PassInts","RushYds","RushTDs","Fumbles","Receptions","RecYds","RecTDs","TwoPts","Team"
"Aaron Rodgers","QB",4217.6,33.3,6.7,144.4,1.9,2.1,0,0,0,0,"GB"
"Andy Dalton","QB",460.5,3.2,1.8,15.3,0,0.2,0,0,0,0,"NO"
"Baker Mayfield","QB",3443.4,18.3,13.9,145.2,1.2,3.4,0,0,0,0,"CAR"
"Blaine Gabbert","QB",145.3,1,0.4,3.6,0,0.3,0,0,0,0,"TB"
"Brandon Allen","QB",120.9,0.7,0.5,5.7,0,0.1,0,0,0,0,"CIN"
"Brett Rypien","QB",122,1,0.5,4,0,0,0,0,0,0,"DEN"
"Brian Hoyer","QB",151.4,1.1,0.5,1.7,0,0.1,0,0,0,0,"NE"
"C.J. Beathard","QB",156.1,1.1,0.5,5.8,0,0.7,0,0,0,0,"JAC"
"Carson Wentz","QB",3649.5,22.3,11.5,226.1,1.8,4.7,0,0,0,0,"WAS"
"Case Keenum","QB",134.1,1,0.4,4.1,0,0.1,0,0,0,0,"BUF"
"Chad Henne","QB",131.2,0.8,0.5,4.3,0,0.2,0,0,0,0,"KC"
"Chase Daniel","QB",119.2,0.7,0.5,4.2,0,0.1,0,0,0,0,"LAC"
"Colt McCoy","QB",196.3,1.1,0.7,9.5,0,0.2,0,0,0,0,"ARI"
"Cooper Rush","QB",187.6,1.2,0.5,3,0,0.1,0,0,0,0,"DAL"
"Dak Prescott","QB",4486.9,34,11.2,223.7,2.6,5.5,0,0,0,0,"DAL"
"Daniel Jones","QB",3582.9,20.8,14.9,435.3,2.8,6.1,0,0,0,0,"NYG"
"David Blough","QB",0,0,0,0,0,0,0,0,0,0,"DET"
"Davis Mills","QB",3682,19.8,14.3,120.8,0.9,2.2,0,0,0,0,"HOU"
"Davis Webb","QB",0,0,0,0,0,0,0,0,0,0,"NYG"
"Derek Carr","QB",4491.5,27.6,12.7,136.9,1.2,4.9,0,0,0,0,"LV"
"Deshaun Watson","QB",2365.9,15.5,6.8,298.7,3,2.1,0,0,0,0,"CLE"
"Desmond Ridder","QB",1190.9,6.4,4.7,101.5,0.7,1.1,0,0,0,0,"ATL"
"Drew Lock","QB",1901.5,10.5,7,106.3,1.2,1.9,0,0,0,0,"SEA"
"Easton Stick","QB",0,0,0,0,0,0,0,0,0,0,"LAC"
"Feleipe Franks","QB",0,0,0,0,0,0,0,0,0,0,"ATL"
"Gardner Minshew II","QB",236.5,1.5,0.7,24.4,0.1,0.2,0,0,0,0,"PHI"
"Geno Smith","QB",1887.3,10.6,7,89.6,0.7,2.2,0,0,0,0,"SEA"
"Ian Book","QB",0,0,0,0,0,0,0,0,0,0,"NO"
"Jacob Eason","QB",0,0,0,0,0,0,0,0,0,0,"SEA"
"Jacoby Brissett","QB",1533.1,9.4,5.3,89.3,0.9,2.1,0,0,0,0,"CLE"
"Jake Luton","QB",0,0,0,0,0,0,0,0,0,0,"JAC"
"Jalen Hurts","QB",3552.5,24.5,12.9,741.3,7.9,3.4,0,0,0,0,"PHI"
"Jameis Winston","QB",3321.5,23,11.7,257.5,1.6,3.5,0,0,0,0,"NO"
"Jared Goff","QB",3798.7,24,12.4,96.5,1.1,5.1,0,0,0,0,"DET"
"Jarrett Stidham","QB",139.3,0.8,0.7,4.1,0,0.1,0,0,0,0,"LV"
"Jeff Driskel","QB",0,0,0,0,0,0,0,0,0,0,"HOU"
"Jimmy Garoppolo","QB",250.7,1.7,1,1.7,0,0,0,0,0,0,"SF"
"Joe Burrow","QB",4406.7,30.3,12.1,184.1,2.3,2.3,0,0,0,0,"CIN"
"Joe Flacco","QB",233.8,1.5,0.8,6.8,0,0.7,0,0,0,0,"NYJ"
"John Wolford","QB",133.5,0.7,0.5,9,0,0.1,0,0,0,0,"LAR"
"Jordan Love","QB",171.8,1,0.8,11.4,0,0.2,0,0,0,0,"GB"
"Josh Allen","QB",4332.5,34.9,14.5,670.3,6.9,3.8,0,0,0,0,"BUF"
"Josh Johnson","QB",139,0.9,0.4,10.4,0,0.1,0,0,0,0,"DEN"
"Joshua Dobbs","QB",72,0.6,0.1,12.4,0,0,0,0,0,0,"CLE"
"Justin Fields","QB",3508.9,18.9,16,580.9,3.6,6.7,0,0,0,0,"CHI"
"Justin Herbert","QB",4619,34,13.1,298.9,3.2,2,0,0,0,0,"LAC"
"Kellen Mond","QB",52.5,0.5,0,2,0,0,0,0,0,0,"MIN"
"Kenny Pickett","QB",1931.3,11.1,8.2,94.9,0.8,1.8,0,0,0,0,"PIT"
"Kirk Cousins","QB",4292.8,31,11.3,106.8,1,3.9,0,0,0,0,"MIN"
"Kyle Allen","QB",289.7,1.5,1.2,8.3,0.1,1,0,0,0,0,"HOU"
"Kyle Trask","QB",134,1,0,3,0,0,0,0,0,0,"TB"
"Kyler Murray","QB",4144,26.5,12.3,536.3,5.7,3,0,0,0,0,"ARI"
"Lamar Jackson","QB",3695.9,24.9,13.8,935.7,4.4,4.3,0,0,0,0,"BAL"
"Logan Woodside","QB",0,0,0,0,0,0,0,0,0,0,"TEN"
"Mac Jones","QB",3832.5,23.9,14.5,127.3,0.5,2.9,0,0,0,0,"NE"
"Malik Willis","QB",173.3,0.9,1,17.1,0.1,0.2,0,0,0,0,"TEN"
"Marcus Mariota","QB",2949.2,15.7,11.9,301.1,2.1,1.1,0,0,0,0,"ATL"
"Mason Rudolph","QB",81,0.5,0.5,7.5,0,0,0,0,0,0,"PIT"
"Matt Barkley","QB",0,0,0,0,0,0,0,0,0,0,"BUF"
"Matt Corral","QB",127,0.8,0.8,4.2,0,0.1,0,0,0,0,"CAR"
"Matt Ryan","QB",3829.6,25.3,11.3,111.4,1.4,4.5,0,0,0,0,"IND"
"Matthew Stafford","QB",4562.2,34.1,14.6,87,1.2,2.7,0,0,0,0,"LAR"
"Mike White","QB",72.5,0.5,0.5,1.5,0,0,0,0,0,0,"NYJ"
"Mitchell Trubisky","QB",2143.4,12.7,8.1,128.4,1.2,1.5,0,0,0,0,"PIT"
"Nate Sudfeld","QB",94.7,0.6,0.5,2.4,0,0.2,0,0,0,0,"SF"
"Nathan Peterman","QB",45,0.5,0.5,9,0,0,0,0,0,0,"CHI"
"Nick Foles","QB",121.1,0.8,0.7,7.6,0,0.1,0,0,0,0,"IND"
"Nick Mullens","QB",115.3,0.7,0.7,1.7,0,1,0,0,0,0,"LV"
"P.J. Walker","QB",0,0,0,0,0,0,0,0,0,0,"CAR"
"Patrick Mahomes II","QB",4681.4,36.1,11.6,355.4,2.8,3.6,0,0,0,0,"KC"
"Russell Wilson","QB",4190.9,29.7,9.6,294.1,2.2,3.1,0,0,0,0,"DEN"
"Ryan Griffin","QB",0,0,0,0,0,0,0,0,0,0,"TB"
"Ryan Tannehill","QB",3692.3,24.1,13.6,272.1,4,3.5,0,0,0,0,"TEN"
"Sam Darnold","QB",555.5,3.5,2.8,25.1,0.4,0.4,0,0,0,0,"CAR"
"Sam Ehlinger","QB",0,0,0,0,0,0,0,0,0,0,"IND"
"Sam Howell","QB",51.5,0.3,0.3,2,0,0.1,0,0,0,0,"WAS"
"Sean Mannion","QB",126.7,0.9,0.6,6.8,0,0.2,0,0,0,0,"MIN"
"Taylor Heinicke","QB",181.9,1.5,0.9,15.2,0,0.1,0,0,0,0,"WAS"
"Taysom Hill","QB",55.5,0.2,0.2,112.8,1.4,1,0,0,0,0,"NO"
"Teddy Bridgewater","QB",259.7,1.6,0.8,15.3,0.1,0.2,0,0,0,0,"MIA"
"Tim Boyle","QB",147.9,0.9,0.8,6,0,0.1,0,0,0,0,"DET"
"Tom Brady","QB",4693.5,37.1,12,53.8,1.8,3.2,0,0,0,0,"TB"
"Trevor Lawrence","QB",3922.5,22.7,14,331.3,2.1,4.1,0,0,0,0,"JAC"
"Trevor Siemian","QB",209.9,1,0.7,8.7,0,0.1,0,0,0,0,"CHI"
"Trey Lance","QB",3556.9,23.7,13.3,514.1,4.5,2,0,0,0,0,"SF"
"Tua Tagovailoa","QB",3983,25.3,14.5,198.4,2.8,2.7,0,0,0,0,"MIA"
"Tyler Huntley","QB",241.4,1.6,1.3,49.6,0.2,0.3,0,0,0,0,"BAL"
"Tyrod Taylor","QB",290,1.9,1.2,28.6,0.2,0.3,0,0,0,0,"NYG"
"Will Grier","QB",0,0,0,0,0,0,0,0,0,0,"DAL"
"Zach Wilson","QB",3669.4,21.8,14.4,227.1,2.5,2.3,0,0,0,0,"NYJ"
"Aaron Jones","RB",0,0,0,898.5,6.3,1.5,60,476.5,3.8,0,"GB"
"Abram Smith","RB",0,0,0,85.9,0.6,0.1,1.9,13.7,0.1,0,"NO"
"Adam Prentice","RB",0,0,0,18.9,0.1,0,2,14.6,0.1,0,"NO"
"AJ Dillon","RB",0,0,0,767.7,5.7,1.4,28.7,231.2,1.3,0,"GB"
"Alec Ingold","RB",0,0,0,17.4,0.2,0.1,4.4,31.4,0.2,0,"MIA"
"Alex Armah Jr.","RB",0,0,0,18.9,0.2,0,3.9,27.9,0.2,0,"WAS"
"Alexander Mattison","RB",0,0,0,487.9,2.8,1.2,25.2,185.2,1,0,"MIN"
"Alvin Kamara","RB",0,0,0,842.4,6.7,1.8,59.6,538.5,4.5,0,"NO"
"Ameer Abdullah","RB",0,0,0,46.7,0.1,0,10.9,87.2,0.6,0,"LV"
"Andrew Beck","RB",0,0,0,18.9,0.2,0,4.4,31.9,0.2,0,"DEN"
"Andy Janovich","RB",0,0,0,34.6,0.2,0,8.2,63.6,0.3,0,"HOU"
"Anthony McFarland Jr.","RB",0,0,0,53,0.4,0.1,3.2,23.6,0.1,0,"PIT"
"Antonio Gibson","RB",0,0,0,1035.6,8.1,2.8,36.1,251.3,2,0,"WAS"
"Antonio Williams","RB",0,0,0,71.5,0.5,0,2.4,19,0.1,0,"NYG"
"Austin Ekeler","RB",0,0,0,993.5,9.8,2.3,75.4,658,5.4,0,"LAC"
"Benny Snell Jr.","RB",0,0,0,169.1,1,0.2,6,42.4,0.2,0,"PIT"
"Boston Scott","RB",0,0,0,268.3,2.9,0.2,7.3,52,0.2,0,"PHI"
"Brandon Bolden","RB",0,0,0,143.3,0.8,1,17.8,162.7,0.5,0,"LV"
"Breece Hall","RB",0,0,0,946.2,5.8,2,36.3,288.1,1.5,0,"NYJ"
"Brian Robinson Jr.","RB",0,0,0,405.1,3,1.2,13,97.3,0.5,0,"WAS"
"C.J. Ham","RB",0,0,0,21.8,0.1,0.1,6.6,49.1,0.3,0,"MIN"
"Cam Akers","RB",0,0,0,1105.2,7.2,3.4,36.9,293.1,1.6,0,"LAR"
