"player","id"
"jake-byrne","15426"
"travaris-cadet","15457"
"jeremy-cain","6262"
"andre-caldwell","11331"
"jordan-cameron","14189"
"michael-campanaro","16832"
"calais-campbell","11284"
"d.j.-campbell","15116"
"jason-campbell","8440"
"jordan-campbell","16317"
"michael-campbell","14473"
"stephen-campbell","16703"
"tommie-campbell","14062"
"william-campbell","15969"
"marcus-cannon","14116"
"chris-canty","8546"
"tank-carder","15014"
"don-carey","12644"
"ka'deem-carey","16942"
"gabe-carimi","13967"
"john-carlson","11272"
"roc-carmichael","14118"
"dan-carpenter","11688"
"james-carpenter","13993"
"brandon-carr","11363"
"derek-carr","16757"
"deveron-carr","16254"
"cornellius-carradine","15829"
"ryan-carrethers","16851"
"t.j.-carrie","16808"
"derek-carrier","15403"
"alex-carrington","13266"
"nolan-carroll","13333"
"glenn-carson","17123"
"brandon-carswell","15289"
"bruce-carter","14026"
"chris-carter","14174"
"michael-carter","17343"
"quinton-carter","14091"
"tony-carter","12771"
"chance-casey","16513"
"james-casey","12535"
"jurrell-casey","14047"
"jonathan-casillas","13045"
"antoine-cason","11261"
"matt-cassel","8644"
"sergio-castillo","17480"
"anthony-castonzo","13970"
"chandler-catanzaro","16976"
"mike-catapano","15944"
"sean-cattouse","15574"
"mike-caussin","13335"
"braxston-cave","16295"
"brent-celek","10605"
"garrett-celek","15204"
"brelan-chancellor","16977"
"kam-chancellor","13336"
"nate-chandler","15492"
"scott-chandler","10572"
"jamar-chaney","13337"
"shaun-chapas","14094"
"josh-chapman","15039"
"jamaal-charles","11307"
"orson-charles","14902"
"stefan-charles","16568"
"chimdi-chekwa","14107"
"gosder-cherilus","11251"
"dewayne-cherrington","16391"
"chris-chester","9642"
"greg-childs","15083"
"patrick-chung","12527"
"barry-church","13338"
"ryan-clady","11246"
"morris-claiborne","14943"
"arceto-clark","16618"
"chris-clark","11689"
"ryan-clark","4301"
"brian-clarke","17339"
"steven-clarke","17124"
"will-clarke","16758"
"jeromey-clary","9773"
"jimmy-clausen","13198"
"brennan-clay","16980"
"charles-clay","14145"
"charles-clay","17420"
"adrian-clayborn","13965"
"keenan-clayton","13339"
"emmett-cleary","16288"
"kellen-clemens","9635"
"chris-clemons","12645"
"chris-clemons","4864"
"toney-clemons","15118"
"asante-cleveland","17125"
"blake-clingan","15772"
"ha-ha-clinton-dix","16735"
"jadeveon-clowney","16734"
"tyler-clutts","13945"
"danny-coale","15034"
"randall-cobb","14053"
"terrance-cobb","17126"
"ross-cockrell","16843"
"terrence-cody","13267"
"barry-cofield","9710"
"audie-cole","15023"
"colin-cole","4870"
"justin-cole","13501"
"marquice-cole","11211"
"trent-cole","8560"
"brandon-coleman","17127"
"davon-coleman","17334"
"deandre-coleman","17128"
"derrick-coleman","15351"
"kurt-coleman","13340"
"daryn-colledge","9633"
"anthony-collins","11346"
"jamie-collins","15830"
"jasper-collins","16052"
"jed-collins","11517"
"nate-collins","13550"
"willie-colon","9717"
"britton-colquitt","12773"
"dustin-colquitt","8513"
"marques-colston","9838"
"kain-colter","17055"
"aaron-colvin","16900"
"sanders-commings","15913"
"tom-compton","15082"
"will-compton","16324"
"jon-condo","9276"
"kevin-cone","14818"
"t.j.-conley","12966"
"john-conner","13341"
"kavell-conner","13342"
"dan-connolly","9298"
"matt-conrath","15142"
"chris-conte","14016"
"chris-cook","13268"
"darwin-cook","17129"
"jamaine-cook","16309"
"jared-cook","12537"
"brandin-cooks","16731"
"travis-coons","17130"
"jonathan-cooper","15787"
"josh-cooper","15197"
"marcus-cooper","15888"
"riley-cooper","13225"
"brandon-copeland","16393"
"damian-copeland","17131"
"j.c.-copeland","17326"
"quinton-coples","14934"
"jack-cornell","15519"
"paul-cornick","15706"
"blake-costanzo","11192"
"jerricho-cotchery","5633"
"edawn-coughman","15700"
"jerome-couplin","16982"
"kirk-cousins","14880"
"oniel-cousins","11333"
"bobby-cowan","16246"
"derek-cox","12646"
