"player","position","game_num","rush_att","rush_yds","rush_yds_per_att","rush_td","targets","rec","rec_yds","rec_yds_per_rec","rec_td","catch_pct","rec_yds_per_tgt","pass_cmp","pass_att","pass_cmp_perc","pass_yds","pass_td","pass_int","pass_rating","pass_sacked","pass_sacked_yds","pass_yds_per_att","pass_adj_yds_per_att","two_pt_md","all_td","scoring","sacks","tackles_solo","tackles_assists","kick_ret","kick_ret_yds","kick_ret_yds_per_ret","kick_ret_td","punt_ret","punt_ret_yds","punt_ret_yds_per_ret","punt_ret_td","gs","def_int","def_int_yds","def_int_td","safety_md","year"
"Sam Aiken","WR","14",NA,NA,NA,NA,"2","0","0",NA,"0","0.0%","0.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Sam Aiken","WR","15",NA,NA,NA,NA,"1","1","7","7.00","0","100.0%","7.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Sam Aiken","WR","16",NA,NA,NA,NA,"5","2","9","4.50","0","40.0%","1.80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Sam Aiken","WR",NA,NA,NA,NA,NA,"41","20","326","16.30","2","48.8%","7.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","12","0.0","0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Sam Aiken","WR","17",NA,NA,NA,NA,"5","1","5","5.00","0","20.0%","1.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Jake Allen","","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Jake Allen","","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Jake Allen","","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Jake Allen","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Danny Amendola","WR","3","0","0",NA,"0","1","0","0",NA,"0","0.0%","0.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","1","0","8","187","23.38","0","2","23","11.50","0",NA,NA,NA,NA,NA,2009
"Danny Amendola","WR","4","0","0",NA,"0","1","1","8","8.00","0","100.0%","8.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","0","0","4","82","20.50","0","2","9","4.50","0",NA,NA,NA,NA,NA,2009
"Danny Amendola","WR","5","0","0",NA,"0","5","5","43","8.60","0","100.0%","8.60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","0","0","6","135","22.50","0","1","6","6.00","0",NA,NA,NA,NA,NA,2009
"Danny Amendola","WR","6","0","0",NA,"0","4","3","25","8.33","0","75.0%","6.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","0","0","4","125","31.25","0","1","11","11.00","0",NA,NA,NA,NA,NA,2009
"Danny Amendola","WR","7","0","0",NA,"0","5","5","39","7.80","0","100.0%","7.80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","0","0","7","176","25.14","0","2","16","8.00","0",NA,NA,NA,NA,NA,2009
"Danny Amendola","WR","8","1","0","0.00","0","3","1","13","13.00","0","33.3%","4.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","0","0","2","40","20.00","0","3","28","9.33","0",NA,NA,NA,NA,NA,2009
"Danny Amendola","WR","9","0","0",NA,"0","2","0","0",NA,"0","0.0%","0.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","0","0","3","64","21.33","0","1","10","10.00","0",NA,NA,NA,NA,NA,2009
"Danny Amendola","WR","10","0","0",NA,"0","4","4","61","15.25","0","100.0%","15.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","0","0","3","91","30.33","0","2","19","9.50","0",NA,NA,NA,NA,NA,2009
